epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,381.72,0.89368,0.95159,0.95992,1,0.1534,0.7938,0.6043,0.88131,2.72841,1.0091,0.000953276,0.000953276,0.000953276
43,390.795,0.83131,0.9723,1.01909,1,0.18915,0.8179,0.63311,0.86667,2.67067,0.99942,0.000974142,0.000974142,0.000974142
44,399.757,0.86158,0.99363,0.9966,1,0.19781,0.82798,0.63693,0.8745,2.67546,1.01597,0.00099491,0.00099491,0.00099491
45,408.734,0.98521,1.13524,1.03853,1,0.26427,0.86327,0.64764,0.88505,2.5704,1.0404,0.00101558,0.00101558,0.00101558
46,417.696,0.94203,0.94741,1.05334,1,0.26278,0.90653,0.68571,0.88237,2.53539,1.04053,0.00103615,0.00103615,0.00103615
47,426.694,0.88594,0.8757,1.01288,1,0.27376,0.97581,0.76368,0.86684,2.40691,1.02201,0.00105662,0.00105662,0.00105662
48,435.779,0.99547,0.89429,1.0195,1,0.29933,0.97789,0.77053,0.85341,2.29143,1.01078,0.00107699,0.00107699,0.00107699
49,444.726,1.10194,1.13641,1.05103,1,0.24464,0.98199,0.75732,0.87459,2.29795,1.02188,0.00109726,0.00109726,0.00109726
50,453.72,0.91363,0.88199,0.9733,0.99452,0.24116,0.98493,0.77533,0.85611,2.29212,1.00903,0.00111744,0.00111744,0.00111744
51,463.458,0.91404,0.9898,0.99928,0.95531,0.28738,0.96287,0.73925,0.86828,2.27913,1.00893,0.00112625,0.00112625,0.00112625
52,473.134,0.86393,0.90722,0.94151,0.88331,0.39395,0.93429,0.66066,0.93143,2.28002,1.03424,0.00112378,0.00112378,0.00112378
53,482.107,0.88671,0.87616,0.97137,0.85754,0.53359,0.92927,0.70298,0.8746,2.06231,1.00589,0.0011213,0.0011213,0.0011213
54,490.849,0.90872,1.06265,1.09722,0.86172,0.435,0.93355,0.69227,0.90303,2.11452,1.01386,0.00111882,0.00111882,0.00111882
55,499.559,0.93008,0.89731,1.02208,0.8621,0.40442,0.91444,0.7117,0.83722,2.16903,0.99992,0.00111635,0.00111635,0.00111635
56,508.48,0.76988,0.96102,0.94623,0.90192,0.28415,0.83585,0.67148,0.80701,2.35031,0.98898,0.00111388,0.00111388,0.00111388
57,517.372,0.8935,0.91201,0.99307,0.96234,0.45264,0.92258,0.72124,0.81202,2.23958,0.97688,0.0011114,0.0011114,0.0011114
58,526.126,0.85802,0.92549,1.00001,0.97447,0.6409,0.9827,0.75399,0.86478,1.98502,0.993,0.00110892,0.00110892,0.00110892
59,534.903,0.92123,0.80778,0.99429,0.96692,0.90972,0.98927,0.7638,0.88089,1.68315,1.00134,0.00110645,0.00110645,0.00110645
60,543.612,0.93209,0.98688,0.97106,0.97733,0.95196,0.99456,0.78639,0.81587,1.5025,0.97721,0.00110397,0.00110397,0.00110397
61,552.479,0.79032,0.93284,0.99104,0.97884,0.92988,0.99084,0.78202,0.77938,1.5223,0.9673,0.0011015,0.0011015,0.0011015
62,561.294,0.73041,0.88863,0.98609,0.97082,0.95509,0.99055,0.77688,0.8054,1.56992,0.97788,0.00109903,0.00109903,0.00109903
63,570.015,0.82073,0.85512,0.96888,0.96018,0.98538,0.99432,0.78976,0.80075,1.441,0.97809,0.00109655,0.00109655,0.00109655
64,579.079,1.09677,1.12163,1.07113,0.97186,0.99211,0.99477,0.78392,0.80363,1.22085,0.98888,0.00109408,0.00109408,0.00109408
65,588.13,0.83899,0.88794,0.972,0.9732,0.99632,0.995,0.79076,0.8064,1.14822,0.99536,0.0010916,0.0010916,0.0010916
66,596.974,0.83985,0.78583,0.95506,0.96214,0.98293,0.995,0.78799,0.79131,1.26588,0.99603,0.00108913,0.00108913,0.00108913
67,605.568,0.77775,0.81912,0.93555,0.97309,0.98135,0.99449,0.78114,0.80112,1.41981,0.99372,0.00108665,0.00108665,0.00108665
68,614.509,0.90423,0.9168,0.98616,0.99735,0.94236,0.99477,0.79694,0.78302,1.37677,0.98039,0.00108417,0.00108417,0.00108417
