epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,69.035,0.84117,0.90332,0.98076,0.96916,0.11113,0.22762,0.16504,0.7927,3.28826,0.92759,0.000651345,0.000651345,0.000651345
61,70.1826,0.86591,0.90215,0.93713,1,0.11086,0.23127,0.16844,0.80698,3.25591,0.92858,0.0006609,0.0006609,0.0006609
62,71.4378,0.87408,0.99291,0.96303,1,0.10542,0.29731,0.23248,0.84849,3.1741,0.94243,0.000670405,0.000670405,0.000670405
63,72.5855,0.87115,0.94869,1.0146,1,0.15283,0.36397,0.2867,0.84187,3.12566,0.94819,0.000679861,0.000679861,0.000679861
64,73.7517,0.87675,0.9566,0.97014,1,0.16362,0.39131,0.30329,0.81002,3.11207,0.9455,0.000689267,0.000689267,0.000689267
65,74.9061,0.8664,0.8492,0.97188,0.99929,0.19531,0.4139,0.32308,0.83324,3.09377,0.95121,0.000698624,0.000698624,0.000698624
66,76.0973,0.85347,0.86585,0.94238,0.9622,0.19531,0.42962,0.32886,0.84646,3.08693,0.94515,0.000707931,0.000707931,0.000707931
67,77.2536,0.79531,0.89179,0.92055,0.96567,0.16406,0.43053,0.31807,0.87009,3.11819,0.95171,0.000717189,0.000717189,0.000717189
68,78.4094,0.81742,0.89531,0.93836,1,0.10733,0.42126,0.31065,0.87732,3.15789,0.95472,0.000726397,0.000726397,0.000726397
69,79.5666,0.88036,0.87803,0.93971,0.97734,0.15677,0.36759,0.28247,0.847,3.20349,0.95023,0.000735556,0.000735556,0.000735556
70,80.8038,0.80252,0.84817,0.94567,0.98815,0.1571,0.36537,0.27771,0.8369,3.20009,0.94999,0.000744665,0.000744665,0.000744665
71,81.9684,0.88428,0.90906,0.97736,1,0.10922,0.40404,0.30947,0.83971,3.18952,0.95206,0.000753725,0.000753725,0.000753725
72,83.1254,0.84881,0.90393,0.92777,1,0.10538,0.4166,0.31715,0.84738,3.179,0.95549,0.000762735,0.000762735,0.000762735
73,84.2746,0.83197,0.85099,0.93321,0.99399,0.10156,0.41178,0.30734,0.83467,3.1797,0.94676,0.000771696,0.000771696,0.000771696
74,85.4662,0.84876,0.8485,0.95395,1,0.10693,0.4266,0.3286,0.82683,3.13436,0.9439,0.000780607,0.000780607,0.000780607
75,86.6491,0.84599,0.84852,0.96095,1,0.11535,0.43241,0.34159,0.83997,3.0664,0.95502,0.000789469,0.000789469,0.000789469
76,87.8092,0.83258,0.87688,0.9412,1,0.10201,0.42997,0.32949,0.85145,3.05732,0.97015,0.000798281,0.000798281,0.000798281
