epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,49.3233,0.95111,1.16722,0.97657,0.00563,0.51374,0.22817,0.18035,0.87905,3.42595,0.922,0.0004604,0.0004604,0.0004604
42,50.6602,0.90623,1.09768,0.96395,0.00438,0.37958,0.22179,0.17406,0.88543,3.4581,0.93258,0.000470895,0.000470895,0.000470895
43,51.943,0.95758,1.17018,0.97383,0.00416,0.35806,0.22142,0.17043,0.88314,3.48659,0.93317,0.000481341,0.000481341,0.000481341
44,53.1461,0.93228,1.13336,1.00283,0.0042,0.35806,0.2169,0.16108,0.87602,3.54158,0.94257,0.000491737,0.000491737,0.000491737
45,54.5995,0.9386,1.13292,1.00715,0.00405,0.33883,0.22222,0.17349,0.86663,3.57225,0.94443,0.000502084,0.000502084,0.000502084
46,55.9026,0.9361,1.07335,1.00583,0.00443,0.38871,0.22082,0.16997,0.86047,3.56474,0.94455,0.000512381,0.000512381,0.000512381
47,57.2673,0.85934,1.00375,0.95011,0.00437,0.38084,0.22409,0.14978,0.90819,3.55707,0.98446,0.000522629,0.000522629,0.000522629
48,58.6395,0.94971,1.05847,0.96307,0.00506,0.45983,0.22824,0.15634,0.94086,3.48899,0.99824,0.000532827,0.000532827,0.000532827
49,59.9386,0.9817,1.07372,0.97532,0.00588,0.55324,0.27065,0.18963,0.93877,3.44613,0.98266,0.000542976,0.000542976,0.000542976
50,61.3962,0.90388,1.02524,1.00074,0.006,0.56729,0.28961,0.20516,0.87808,3.42819,0.94834,0.000553075,0.000553075,0.000553075
51,62.8448,0.89126,1.12209,0.9486,0.0056,0.51922,0.27355,0.20847,0.82591,3.41924,0.92025,0.000563125,0.000563125,0.000563125
52,64.1874,0.9324,1.02777,0.96339,0.00589,0.54626,0.26775,0.20841,0.83728,3.36858,0.91947,0.000573125,0.000573125,0.000573125
53,65.5281,0.93338,1.07073,0.98787,0.00595,0.55762,0.28332,0.22408,0.89502,3.32393,0.93032,0.000583076,0.000583076,0.000583076
54,66.8257,0.91117,0.9638,1.00239,0.00596,0.56724,0.29963,0.23506,0.86552,3.31303,0.92316,0.000592977,0.000592977,0.000592977
55,68.2456,0.94231,1.01651,1.01176,0.00588,0.56832,0.32528,0.24231,0.8324,3.34376,0.92115,0.000602829,0.000602829,0.000602829
56,69.4833,0.91369,0.98654,0.97505,0.88837,0.20312,0.37417,0.27535,0.82598,3.32051,0.9233,0.000612631,0.000612631,0.000612631
57,70.8297,0.91951,0.94228,0.96318,1,0.07284,0.40989,0.31962,0.82597,3.208,0.92036,0.000622384,0.000622384,0.000622384
58,72.1894,0.9296,1.03816,0.98539,1,0.07259,0.38979,0.30969,0.8298,3.16343,0.9187,0.000632087,0.000632087,0.000632087
59,73.5396,0.88872,0.98264,0.96002,1,0.1174,0.34956,0.27722,0.79628,3.16886,0.91079,0.000641741,0.000641741,0.000641741
60,74.864,0.83135,0.90209,0.97185,1,0.10764,0.28228,0.21883,0.7748,3.2058,0.91218,0.000651345,0.000651345,0.000651345
61,76.092,0.85747,0.89845,0.93949,1,0.11082,0.26264,0.20517,0.80014,3.16336,0.91927,0.0006609,0.0006609,0.0006609
62,77.2851,0.87416,0.98505,0.96392,1,0.11723,0.3437,0.27,0.86361,3.11333,0.93788,0.000670405,0.000670405,0.000670405
63,78.4669,0.86353,0.94111,1.01233,1,0.11633,0.38425,0.29445,0.85849,3.08836,0.93795,0.000679861,0.000679861,0.000679861
64,79.7608,0.89095,0.95786,0.97173,1,0.09129,0.40593,0.31199,0.81684,3.06977,0.93071,0.000689267,0.000689267,0.000689267
65,80.9708,0.86047,0.84568,0.96298,1,0.09942,0.4238,0.32211,0.81784,3.04114,0.93819,0.000698624,0.000698624,0.000698624
66,82.263,0.86526,0.88439,0.95383,1,0.10077,0.43284,0.31816,0.83121,3.02439,0.95008,0.000707931,0.000707931,0.000707931
67,83.4642,0.80917,0.9008,0.93069,1,0.12334,0.46321,0.33559,0.84996,3.00121,0.95248,0.000717189,0.000717189,0.000717189
68,84.947,0.81453,0.89783,0.9436,1,0.12689,0.46843,0.34174,0.89156,2.95546,0.96788,0.000726397,0.000726397,0.000726397
69,86.1969,0.89044,0.88637,0.94772,1,0.13962,0.46962,0.34338,0.86954,2.96764,0.95995,0.000735556,0.000735556,0.000735556
70,87.4541,0.79033,0.82943,0.94779,1,0.16459,0.46966,0.35147,0.83734,2.95039,0.94686,0.000744665,0.000744665,0.000744665
71,88.7834,0.90961,0.92426,0.99582,1,0.15051,0.47654,0.36028,0.83695,2.90991,0.94754,0.000753725,0.000753725,0.000753725
72,90.2098,0.83499,0.90535,0.92759,1,0.14523,0.47783,0.35786,0.84814,2.85936,0.95432,0.000762735,0.000762735,0.000762735
73,91.6253,0.82549,0.8373,0.93544,1,0.14502,0.55238,0.42401,0.84345,2.81916,0.95119,0.000771696,0.000771696,0.000771696
74,92.9412,0.86403,0.86006,0.96778,1,0.13149,0.69679,0.543,0.8428,2.77892,0.95036,0.000780607,0.000780607,0.000780607
75,94.2561,0.81366,0.81728,0.95005,1,0.14993,0.80305,0.62615,0.85422,2.73887,0.95897,0.000789469,0.000789469,0.000789469
76,95.5851,0.81489,0.85413,0.9362,1,0.13338,0.77736,0.61138,0.87781,2.77379,0.96556,0.000798281,0.000798281,0.000798281
77,96.8928,0.77391,0.80554,0.92737,1,0.12373,0.61262,0.47797,0.85304,2.84707,0.95849,0.000807044,0.000807044,0.000807044
78,98.1755,0.83152,0.84238,0.92714,1,0.12185,0.58011,0.45723,0.82353,2.85632,0.94662,0.000815757,0.000815757,0.000815757
79,99.4639,0.78985,0.79807,0.93508,1,0.12842,0.69366,0.54422,0.81086,2.80707,0.93948,0.000824421,0.000824421,0.000824421
80,100.825,0.83744,0.87014,0.95949,1,0.1392,0.69167,0.55178,0.79567,2.79145,0.93427,0.000833035,0.000833035,0.000833035
81,102.217,0.79991,0.84533,0.94659,1,0.09862,0.6814,0.53875,0.78731,2.83875,0.93789,0.0008416,0.0008416,0.0008416
82,103.519,0.79763,0.75387,0.95204,1,0.12081,0.6677,0.52272,0.80102,2.8465,0.94491,0.000850115,0.000850115,0.000850115
83,104.721,0.84065,0.86982,0.94628,1,0.11611,0.67454,0.52564,0.80583,2.82258,0.94818,0.000858581,0.000858581,0.000858581
84,105.929,0.76079,0.77933,0.92087,1,0.13218,0.69401,0.54953,0.80338,2.77556,0.94861,0.000866997,0.000866997,0.000866997
85,107.148,0.78376,0.79117,0.93295,1,0.14879,0.69801,0.54898,0.78801,2.73757,0.9504,0.000875364,0.000875364,0.000875364
